Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Фаренюк,Геннадій,Петрович,Чоловік,1944-08-03,Кінорежисер,хутір Хутір-Михайлівський,"площа Академіка Богатського, буд. 249 кв. 2, Бережани, 14805",+380 16 421-53-04,feofanshcherbak@example.org
Пʼятаченко,Ліза,Георгіївна,Жінка,1955-03-19,Історик,місто Буринь,"узвіз 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 2, Теплодар, 05318",+380 43 736 68 66,khrystynasomko@example.net
Павленко,Василина,Володимирівна,Жінка,1951-11-10,Провізор,село Шахтарське,"сквер Лазурний 4-й, буд. 117, Ківерці, 18655",+380 33 060-46-98,solomiia13@example.net
Баклан,Ростислав,Миколайович,Чоловік,1992-03-12,Палеонтолог,селище Бунге,"набережна Суднобудівна, буд. 763, Мелітополь, 20290",+380 46 701-39-48,zmasliak@example.com
Венгринович,Артем,Олегович,Чоловік,1996-05-11,Реабілітолог,селище Докучаєвськ,"узвіз Десятого квітня, буд. 76, Українка, 51701",+380 94 518-38-97,kylymnykvenedykt@example.net
Скиба,Мирослав,Сергійович,Чоловік,1954-05-15,Круп'є,село Білопілля,"проспект Овідіопольський, буд. 2, Снятин, 55260",000 519 82 71,sofiia58@example.org
Худяк,Едуард,Олегович,Чоловік,1958-11-26,Співак,селище Вінниця,"проспект Гетьманський, буд. 10 кв. 572, Дрогобич, 79862",+380 66 629-52-57,allasamoilenko@example.org
Базавлученко,Данило,Петрович,Чоловік,1949-07-28,Паблік рилейшнз,хутір Жовті Води,"сквер Садовий, буд. 541, Богодухів, 82406",+380 80 794-37-33,lkorsun@example.org
Цимбал,Трохим,Тимофійович,Чоловік,1954-07-03,Промисловець,хутір Василівка,"парк Танфільєва, буд. 36 кв. 9, Буринь, 68792",+380 71 380 21 14,vasylashkoborys@example.org
Андрійчук,Марта,Петрівна,Жінка,1980-06-24,Психолог,село Гірник,"площа Кінна, буд. 1, Ковель, 62434",+380 70 408-38-05,iukhym85@example.org
Гоголь-Яновський,Варфоломій,Дмитрович,Чоловік,1967-01-12,Секретар,місто Армянськ,"парк Альпіністів, буд. 1 кв. 5, Керч, 22682",+380 (94) 305-79-19,iukhymteslenko@example.org
Жаліло,Симон,Сергійович,Чоловік,1983-06-05,Стоматолог,хутір Вуглегірськ,"провулок Кастуся Калиновського, буд. 1, Баранівка, 10284",089 714-27-98,marynavyshniak@example.org
Тихий,Михайло,Олександрович,Чоловік,1970-03-14,Мінералог,хутір Новодністровськ,"узвіз Новоукраїнський, буд. 6 кв. 3, Гуляйполе, 83758",+380 96 418-13-55,ruslan93@example.com
Гоголь-Яновський,Левко,Андрійович,Чоловік,1996-04-28,Лікар,село Джанкой,"шосе Кипарисний 1-й, буд. 34 кв. 62, Красилів, 37134",021 035 40 94,roman46@example.net
Удовенко,Василь,Петрович,Чоловік,1992-05-06,Кінокритик,село Горохів,"вулиця Наявний 6-й, буд. 675, Тлумач, 84768",126-05-41,atamaniukhordii@example.net
Лаба,Борислав,Павлович,Чоловік,1977-11-09,Ґрунтознавець,село Олександрія,"шосе Томатна, буд. 52, Добропілля, 56345",011 978 51 42,iatsenkoliza@example.org
Левченко,Олена,Романівна,Жінка,1959-04-12,Паралегал,місто Миронівка,"набережна Соляний 7-й, буд. 794, Вугледар, 22994",006 825-64-63,darynaiurchyshyn@example.com
Чередник,Галина,Романівна,Жінка,1983-09-03,Математик,селище Болехів,"парк Садова 3-тя, буд. 673 кв. 80, Сімферополь, 99132",+380 72 977-59-21,jlytvyn@example.net
Кабалюк,Ада,Іванівна,Жінка,1954-01-12,Художник,село Зугрес,"площа Прохоровська, буд. 7 кв. 426, Лисичанськ, 83955",070 944-86-84,stepanzhaivoron@example.net
Сацюк,Ігнат,Романович,Чоловік,1966-05-24,Живописець,місто Олешки,"набережна Об'їзна дорога, буд. 127, Заліщики, 91730",064 871-99-63,eieshchenko@example.com
Ковпак,Богдан,Олегович,Чоловік,1983-03-28,Кушнір,хутір Устилуг,"площа Пересипська 10-та, буд. 338 кв. 74, Нетішин, 09713",+380 54 913 52 44,haidamakaadam@example.org
Ажажа,Пилип,Андрійович,Чоловік,1975-01-06,Музичний редактор,селище Підгородне,"площа Гена Іоганна, буд. 439, Валки, 12008",503 63 42,qtereshchenko@example.org
Ірванець,Арсен,Іванович,Чоловік,1962-10-05,Випробувач,село Семенівка,"парк Князя Володимира Великого , буд. 13, Біла Церква, 50676",631 36 28,telychenkoveniiamyn@example.com
Захаренко,Богодар,Георгійович,Чоловік,1954-08-15,Мікробіолог,село Горохів,"парк Старобазарний, буд. 4 кв. 9, Луганськ, 87406",+380 70 493-51-87,tymchuksviatoslava@example.org
Авдєєнко,Борис,Олександрович,Чоловік,1941-11-09,Мікробіолог,місто Борзна,"шосе Андросовський, буд. 16 кв. 652, Радомишль, 80262",364-92-92,kamilla22@example.com
Вдовиченко,Демид,Андрійович,Чоловік,1977-08-19,Музикознавець,хутір Бориспіль,"шосе Прирейкова, буд. 00, Устилуг, 07097",+380 93 826-50-41,hannapavlenko@example.net
Чередник,Герман,Петрович,Чоловік,1942-10-16,Модель,хутір Моршин,"провулок Павла Вірського, буд. 68, Докучаєвськ, 32675",752-62-90,pdankevych@example.com
Бакуменко,Євген,Дмитрович,Чоловік,1974-03-12,Інженер,селище Бобровиця,"площа Андреєвського, буд. 95 кв. 1, Південне, 88674",302 90 98,gdarahan@example.org
Дахно,Сергій,Максимович,Чоловік,1974-01-12,Лікар,місто Підгородне,"проспект Восьмого березня 6-й, буд. 69 кв. 501, Перещепине, 33146",+380 19 723-04-50,vgereta@example.net
Сацюк,Ярослав,Максимович,Чоловік,1957-10-03,Хореограф,селище Теребовля,"узвіз Чорноморський, буд. 00, Любомль, 50120",067 658 50 86,avhustynvitruk@example.net
Власенко,Валерій,Георгійович,Чоловік,1950-04-30,Астронавт,село Суходільськ,"проспект 7-ма Лінія Дачі Ковалевського, буд. 3, Яготин, 12319",+380 83 576-45-35,iaremaromanchuk@example.com
Ващенко,Віктор,Олександрович,Чоловік,1947-03-14,Палеонтолог,село Бунге,"узвіз Вапняне селище, буд. 6 кв. 3, Глобине, 64868",618-19-23,szubko@example.org
Тесля,Костянтин,Дмитрович,Чоловік,1962-07-16,Пекар,село Івано-Франківськ,"сквер Тепла, буд. 06 кв. 6, Мостиська, 91647",037 722-12-31,azarbabii@example.com
Жученко,Владислав,Сергійович,Чоловік,1999-12-06,Співак,селище Комарно,"узвіз Ялинковий, буд. 174 кв. 8, Кам'янка-Бузька, 31506",+380 47 548 83 76,vitaliizaporozhets@example.net
Яценюк,Юстина,Григорівна,Жінка,1961-05-05,Штукатур,село Єнакієве,"площа Угорська, буд. 9, Білицьке, 28961",+380 44 085-57-97,sirkofrants@example.net
Шило,Єлисавета,Юріївна,Жінка,1951-03-18,Стропальник,селище Герца,"площа Підйомний, буд. 67, Корсунь-Шевченківський, 07637",344 86 98,dakhnodmytro@example.org
Джус,Софія,Олександрівна,Жінка,1986-11-28,Дантист,місто Павлоград,"узвіз Агрономічна, буд. 039 кв. 79, Вовчанськ, 58105",+380 82 990-92-38,pylyp85@example.net
Черінько,Ада,Олегівна,Жінка,1962-04-12,Ґрунтознавець,хутір Таврійськ,"вулиця Музична, буд. 6, Любомль, 62114",+380 55 265-91-78,opanas71@example.com
Жайворон,Опанас,Олегович,Чоловік,1969-03-12,Кінорежисер,місто Городище,"шосе Шостої 2-й, буд. 5, Кам'янка (Черкаська область), 92105",049 663 17 94,qalekseienko@example.com
